Created_at,Tweet_Words,Score
2020-04-09 21:24:52+00:00,bmo capital reiterates rating,0.937260627746582
2020-04-09 21:24:50+00:00,rating reiterated stifel nicolaus,0.5802819728851318
2020-04-09 17:58:39+00:00,given target ubs,0.3571020066738128
2020-04-09 15:37:29+00:00,pt lowered btig research,-1.02583110332489
2020-04-09 15:37:26+00:00,target increased analysts cowen,0.9508912563323976
2020-04-09 15:37:24+00:00,pt lowered wells fargo,-1.021124243736267
2020-04-09 02:43:08+00:00,pot resume uptrend consolid longerterm,0.9677348136901855
2020-04-10 10:40:38+00:00,eps estimates corp raised piper sandler,0.8204972743988037
2020-04-12 11:30:10+00:00,informative app pivot points close pivot point download tradingview stockstowatch,0.9009734392166138
2020-04-12 06:24:23+00:00,corp given consensus rating brokerages,0.9188965559005736
2020-04-14 13:30:41+00:00,target cut,-1.047054409980774
2020-04-16 17:18:21+00:00,dividend payers qsr dividends,0.9669629335403442
2020-04-16 17:15:23+00:00,dividend payers qsr dividends,0.9737638235092164
2020-04-16 10:30:09+00:00,informative app pivot points close pivot point download tradingview stockstowatch,0.8818589448928833
2020-04-16 06:19:42+00:00,coronavirus corona selloff demarker retrace beautiful upside eyes stockstowatch,0.988595485687256
2020-04-19 13:30:43+00:00,corp large decline interest,-1.0661821365356443
2020-04-19 12:28:33+00:00,milk bread puerto rico puertorico,-0.922585129737854
2020-04-20 17:46:25+00:00,target increased analysts stephens,0.9495892524719238
2020-04-21 09:11:31+00:00,pot intermed bot downtrend longerterm,-1.0736080408096311
2020-04-22 15:20:59+00:00,rating reiterated financial,0.9267866611480712
2020-04-22 09:31:26+00:00,pot cont downtrend longerterm,-1.0775748491287231
2020-04-22 08:52:02+00:00,analysts anticipate corp eps,0.1841565072536468
2020-04-23 16:17:37+00:00,eps estimates corp decreased keycorp,-0.9768877029418944
2020-04-23 13:34:12+00:00,analysts recent ratings changes,0.0807977393269538
2020-04-23 06:34:18+00:00,scheduled earnings,0.0813866034150123
2020-04-23 01:30:22+00:00,pot intermed bot downtrend longerterm,-1.0736080408096311
2020-04-24 08:20:52+00:00,corp expected announce sales billion,0.1988688856363296
2020-04-25 10:51:38+00:00,rating reaffirmed telsey advisory,0.4465162754058838
2020-04-27 15:43:33+00:00,pot intermed bot downtrend longerterm,-1.0736080408096311
2020-04-27 05:05:52+00:00,financial equities analysts cut earnings estimates corp,-0.8888639211654663
2020-04-29 19:19:10+00:00,end era finance,-0.1970189213752746
2020-04-29 00:02:59+00:00,growth plus stability menu,0.895999550819397
2020-05-03 20:27:21+00:00,issues earnings results,0.0650587528944015
2020-05-03 17:53:59+00:00,ended current pe current dividend yield current marketcap return ytd return stockmarketnews investingnews,-0.4493963122367859
