Created_at,Tweet_Words,Score
2020-04-09 20:45:34+00:00,visa raise swipe fees merchants sources,0.3392499387264251
2020-04-09 17:53:25+00:00,earnings forecast issued piper sandler,0.0581377521157264
2020-04-09 17:53:22+00:00,earnings forecast issued piper sandler,0.0581377521157264
2020-04-09 17:49:21+00:00,earnings forecast issued piper sandler,0.0829839780926704
2020-04-09 17:49:20+00:00,nomura cuts target,-0.9301717281341552
2020-04-09 16:08:14+00:00,target lowered nomura,-0.9676475524902344
2020-04-09 16:08:11+00:00,target lowered nomura,-0.9676475524902344
2020-04-09 15:54:14+00:00,small hit hardest potential fee changes sources,-1.0668808221817017
2020-04-09 15:53:54+00:00,big merchants swipe fees fall sources,-0.8023016452789307
2020-04-09 15:29:20+00:00,major leader payments decent potential despite current virus situation mean payments ai anywhere,0.9742698669433594
2020-04-09 15:21:07+00:00,citigroup raises target,0.5176575183868408
2020-04-09 15:08:42+00:00,live discuss example,0.4233616888523102
2020-04-09 14:44:13+00:00,live discuss example grab pass scott live signal room,0.5404186248779297
2020-04-09 13:22:31+00:00,target raised citigroup,0.917432188987732
2020-04-09 12:05:28+00:00,aroon reaches uptrend view odds mastercardincorporatedordinaryshares money news,0.9263266324996948
2020-04-09 11:58:06+00:00,,-0.8398662805557251
2020-04-09 10:20:22+00:00,pt raised citi,0.8547725677490234
2020-04-09 10:05:26+00:00,,-0.7594062089920044
2020-04-09 09:30:53+00:00,big merchants swipe fees fall sources,-0.8597933053970337
2020-04-09 09:30:40+00:00,small hit hardest potential fee changes sources,-1.0762218236923218
2020-04-09 09:30:29+00:00,visa raise swipe fees merchants sources,0.3843844830989837
2020-04-09 05:11:36+00:00,brokers issue forecasts earnings,-0.083668552339077
2020-04-09 05:11:18+00:00,brokers issue forecasts earnings,-0.083668552339077
2020-04-09 05:10:49+00:00,brokers issue forecasts earnings,-0.083668552339077
2020-04-09 01:54:35+00:00,minute heikin ashi fisher transformer macd crossover strategy entry exit stockstowatch min,0.1416615694761276
2020-04-10 21:18:00+00:00,building position,0.3652336299419403
2020-04-10 20:31:53+00:00,building position,0.6377577781677246
